total diagnoses,39081
matching diagnoses,602
K22.8,8
T81.0,52
Y57.9,129
D62,84
K92.2,12
I98.3,5
K25.4,9
R31,15
N95.0,8
D68.30,69
K26.4,6
K62.5,6
K57.31,3
K55.82,4
S06.5,13
R04.2,12
K31.82,7
I80.1,6
K26.0,8
K92.1,12
K92.0,3
R04.0,21
K55.22,4
I31.2,7
Y69,39
H11.3,3
R23.3,4
S06.6,8
R57.1,14
R58,2
K57.11,3
K22.6,1
H35.6,1
K57.33,1
I64,3
K66.1,1
K25.0,1
I80.3,2
K29.0,3
S06.4,3
N42.1,2
S06.33,3
R04.1,1
H05.2,1
R04.8,1
J94.2,2
